run_id,protocol,scenario,step,label,network,t_start_ms,duration_ms,result,outcome,lock_duration_ms,transactions,detail
T2c-20260831-160001,2PC,T2c,6,recover,coordinator,39,0,INFO,,,,decisão durável encontrada (COMMIT_DECIDED): retomando
T2c-20260831-160001,2PC,T2c,4,commit-n1,network1,39,4,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:7051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,4,commit-n2,network2,39,4,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:9051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,5,retry-commit-n1,network1,1045,7,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:7051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,5,retry-commit-n2,network2,1045,7,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:9051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,5,retry-commit-n1,network1,3054,6,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:7051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,5,retry-commit-n2,network2,3054,6,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:9051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,5,retry-commit-n1,network1,6062,6,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:7051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,5,retry-commit-n2,network2,6062,6,FALHOU,,,,Failed to submit: Transaction processing for endorser [localhost:9051]: Chaincode status Code: (500) UNKNOWN. Description: a transação tx-T2b-20260831-155923 já foi decidida como ABORTED; não pode vir
T2c-20260831-160001,2PC,T2c,total,end-to-end,both,0,6092,OK,ABORTED_BOTH,43506,0,nenhum lado efetivou; nada em custódia
