run_id,protocol,scenario,step,label,network,t_start_ms,duration_ms,result,outcome,lock_duration_ms,transactions,detail
T2b-20260831-155923,2PC,T2b,1,prepare-n1,network1,50,2027,OK,,,,
T2b-20260831-155923,2PC,T2b,1,prepare-n2,network2,50,2027,OK,,,,
T2b-20260831-155923,2PC,T2b,3,persist-decision,coordinator,2085,8,OK,,,,
T2b-20260831-155923,2PC,T2b,3,crash,coordinator,2093,0,INFO,,,,"morto após persistir a decisão, antes de comunicá-la"
T2b-20260831-155923,2PC,T2b,total,end-to-end,both,0,2104,OK,BLOCKED,25,2,nenhum lado efetivou e há ativo preso em custódia ([rede 1 rede 2])
