run_id,protocol,scenario,step,label,network,t_start_ms,duration_ms,result,outcome,lock_duration_ms,transactions,detail
B2-20260831-180257,2PC,B2,1,prepare-n1,network1,50,2024,OK,,,,
B2-20260831-180257,2PC,B2,1,prepare-n2,network2,50,2024,OK,,,,
B2-20260831-180257,2PC,B2,3,persist-decision,coordinator,2084,8,OK,,,,
B2-20260831-180257,2PC,B2,3,crash,coordinator,2092,0,INFO,,,,"morto após persistir a decisão, antes de comunicá-la"
B2-20260831-180257,2PC,B2,total,end-to-end,both,0,2104,OK,BLOCKED,29,2,nenhum lado efetivou e há ativo preso em custódia ([rede 1 rede 2])
